customer_id,first_name,last_name,email,phone,loyalty_join_date,loyalty_points,membership_status
1,Customer1,Last1,customer1@example.com,917-555-0001,2025-01-01,5238,Active
2,Customer2,Last2,customer2@example.com,917-555-0002,2025-01-01,912,Active
3,Customer3,Last3,customer3@example.com,917-555-0003,2025-01-01,204,Active
4,Customer4,Last4,customer4@example.com,917-555-0004,2025-01-01,2253,Active
5,Customer5,Last5,customer5@example.com,917-555-0005,2025-01-01,2006,Active
6,Customer6,Last6,customer6@example.com,917-555-0006,2025-01-01,1828,Active
7,Customer7,Last7,customer7@example.com,917-555-0007,2025-01-01,1143,Active
8,Customer8,Last8,customer8@example.com,917-555-0008,2025-01-01,839,Active
9,Customer9,Last9,customer9@example.com,917-555-0009,2025-01-01,5543,Active
10,Customer10,Last10,customer10@example.com,917-555-0010,2025-01-01,4467,Active
11,Customer11,Last11,customer11@example.com,917-555-0011,2025-01-01,712,Active
12,Customer12,Last12,customer12@example.com,917-555-0012,2025-01-01,4837,Active
13,Customer13,Last13,customer13@example.com,917-555-0013,2025-01-01,3456,Active
14,Customer14,Last14,customer14@example.com,917-555-0014,2025-01-01,260,Active
15,Customer15,Last15,customer15@example.com,917-555-0015,2025-01-01,244,Active
16,Customer16,Last16,customer16@example.com,917-555-0016,2025-01-01,767,Active
17,Customer17,Last17,customer17@example.com,917-555-0017,2025-01-01,1791,Active
18,Customer18,Last18,customer18@example.com,917-555-0018,2025-01-01,1905,Active
19,Customer19,Last19,customer19@example.com,917-555-0019,2025-01-01,4139,Active
20,Customer20,Last20,customer20@example.com,917-555-0020,2025-01-01,4931,Active
21,Customer21,Last21,customer21@example.com,917-555-0021,2025-01-01,217,Active
22,Customer22,Last22,customer22@example.com,917-555-0022,2025-01-01,4597,Active
23,Customer23,Last23,customer23@example.com,917-555-0023,2025-01-01,1628,Active
24,Customer24,Last24,customer24@example.com,917-555-0024,2025-01-01,5865,Active
25,Customer25,Last25,customer25@example.com,917-555-0025,2025-01-01,5323,Active
26,Customer26,Last26,customer26@example.com,917-555-0026,2025-01-01,5745,Active
27,Customer27,Last27,customer27@example.com,917-555-0027,2025-01-01,4464,Active
28,Customer28,Last28,customer28@example.com,917-555-0028,2025-01-01,3436,Active
29,Customer29,Last29,customer29@example.com,917-555-0029,2025-01-01,1805,Active
30,Customer30,Last30,customer30@example.com,917-555-0030,2025-01-01,3679,Active
31,Customer31,Last31,customer31@example.com,917-555-0031,2025-01-01,4827,Active
32,Customer32,Last32,customer32@example.com,917-555-0032,2025-01-01,2278,Active
33,Customer33,Last33,customer33@example.com,917-555-0033,2025-01-01,53,Active
34,Customer34,Last34,customer34@example.com,917-555-0034,2025-01-01,1307,Active
35,Customer35,Last35,customer35@example.com,917-555-0035,2025-01-01,5719,Active
36,Customer36,Last36,customer36@example.com,917-555-0036,2025-01-01,3462,Active
37,Customer37,Last37,customer37@example.com,917-555-0037,2025-01-01,2787,Active
38,Customer38,Last38,customer38@example.com,917-555-0038,2025-01-01,2276,Active
39,Customer39,Last39,customer39@example.com,917-555-0039,2025-01-01,1273,Active
40,Customer40,Last40,customer40@example.com,917-555-0040,2025-01-01,1763,Active
41,Customer41,Last41,customer41@example.com,917-555-0041,2025-01-01,2757,Active
42,Customer42,Last42,customer42@example.com,917-555-0042,2025-01-01,837,Active
43,Customer43,Last43,customer43@example.com,917-555-0043,2025-01-01,759,Active
44,Customer44,Last44,customer44@example.com,917-555-0044,2025-01-01,3112,Active
45,Customer45,Last45,customer45@example.com,917-555-0045,2025-01-01,792,Active
46,Customer46,Last46,customer46@example.com,917-555-0046,2025-01-01,2940,Active
47,Customer47,Last47,customer47@example.com,917-555-0047,2025-01-01,2817,Active
48,Customer48,Last48,customer48@example.com,917-555-0048,2025-01-01,4945,Active
49,Customer49,Last49,customer49@example.com,917-555-0049,2025-01-01,2166,Active
50,Customer50,Last50,customer50@example.com,917-555-0050,2025-01-01,355,Active
51,Customer51,Last51,customer51@example.com,917-555-0051,2025-01-01,5977,Active
52,Customer52,Last52,customer52@example.com,917-555-0052,2025-01-01,3763,Active
53,Customer53,Last53,customer53@example.com,917-555-0053,2025-01-01,4392,Active
54,Customer54,Last54,customer54@example.com,917-555-0054,2025-01-01,1022,Active
55,Customer55,Last55,customer55@example.com,917-555-0055,2025-01-01,3100,Active
56,Customer56,Last56,customer56@example.com,917-555-0056,2025-01-01,645,Active
57,Customer57,Last57,customer57@example.com,917-555-0057,2025-01-01,4522,Active
58,Customer58,Last58,customer58@example.com,917-555-0058,2025-01-01,2401,Active
59,Customer59,Last59,customer59@example.com,917-555-0059,2025-01-01,5149,Active
60,Customer60,Last60,customer60@example.com,917-555-0060,2025-01-01,5066,Active
61,Customer61,Last61,customer61@example.com,917-555-0061,2025-01-01,2962,Active
62,Customer62,Last62,customer62@example.com,917-555-0062,2025-01-01,4729,Active
63,Customer63,Last63,customer63@example.com,917-555-0063,2025-01-01,1575,Active
64,Customer64,Last64,customer64@example.com,917-555-0064,2025-01-01,5771,Active
65,Customer65,Last65,customer65@example.com,917-555-0065,2025-01-01,569,Active
66,Customer66,Last66,customer66@example.com,917-555-0066,2025-01-01,375,Active
67,Customer67,Last67,customer67@example.com,917-555-0067,2025-01-01,5417,Active
68,Customer68,Last68,customer68@example.com,917-555-0068,2025-01-01,1866,Active
69,Customer69,Last69,customer69@example.com,917-555-0069,2025-01-01,2370,Active
70,Customer70,Last70,customer70@example.com,917-555-0070,2025-01-01,653,Active
71,Customer71,Last71,customer71@example.com,917-555-0071,2025-01-01,1907,Active
72,Customer72,Last72,customer72@example.com,917-555-0072,2025-01-01,827,Active
73,Customer73,Last73,customer73@example.com,917-555-0073,2025-01-01,3113,Active
74,Customer74,Last74,customer74@example.com,917-555-0074,2025-01-01,2277,Active
75,Customer75,Last75,customer75@example.com,917-555-0075,2025-01-01,3714,Active
76,Customer76,Last76,customer76@example.com,917-555-0076,2025-01-01,5207,Active
77,Customer77,Last77,customer77@example.com,917-555-0077,2025-01-01,2988,Active
78,Customer78,Last78,customer78@example.com,917-555-0078,2025-01-01,1332,Active
79,Customer79,Last79,customer79@example.com,917-555-0079,2025-01-01,3032,Active
80,Customer80,Last80,customer80@example.com,917-555-0080,2025-01-01,2910,Active
81,Customer81,Last81,customer81@example.com,917-555-0081,2025-01-01,1716,Active
82,Customer82,Last82,customer82@example.com,917-555-0082,2025-01-01,5490,Active
83,Customer83,Last83,customer83@example.com,917-555-0083,2025-01-01,2187,Active
84,Customer84,Last84,customer84@example.com,917-555-0084,2025-01-01,5749,Active
85,Customer85,Last85,customer85@example.com,917-555-0085,2025-01-01,5599,Active
86,Customer86,Last86,customer86@example.com,917-555-0086,2025-01-01,5308,Active
87,Customer87,Last87,customer87@example.com,917-555-0087,2025-01-01,584,Active
88,Customer88,Last88,customer88@example.com,917-555-0088,2025-01-01,4990,Active
89,Customer89,Last89,customer89@example.com,917-555-0089,2025-01-01,5201,Active
90,Customer90,Last90,customer90@example.com,917-555-0090,2025-01-01,1401,Active
91,Customer91,Last91,customer91@example.com,917-555-0091,2025-01-01,4375,Active
92,Customer92,Last92,customer92@example.com,917-555-0092,2025-01-01,5973,Active
93,Customer93,Last93,customer93@example.com,917-555-0093,2025-01-01,2005,Active
94,Customer94,Last94,customer94@example.com,917-555-0094,2025-01-01,1338,Active
95,Customer95,Last95,customer95@example.com,917-555-0095,2025-01-01,3786,Active
96,Customer96,Last96,customer96@example.com,917-555-0096,2025-01-01,3108,Active
97,Customer97,Last97,customer97@example.com,917-555-0097,2025-01-01,2211,Active
98,Customer98,Last98,customer98@example.com,917-555-0098,2025-01-01,5242,Active
99,Customer99,Last99,customer99@example.com,917-555-0099,2025-01-01,5637,Active
100,Customer100,Last100,customer100@example.com,917-555-0100,2025-01-01,4562,Active
101,Customer101,Last101,customer101@example.com,917-555-0101,2025-01-01,1799,Active
102,Customer102,Last102,customer102@example.com,917-555-0102,2025-01-01,5608,Active
103,Customer103,Last103,customer103@example.com,917-555-0103,2025-01-01,2656,Active
104,Customer104,Last104,customer104@example.com,917-555-0104,2025-01-01,458,Active
105,Customer105,Last105,customer105@example.com,917-555-0105,2025-01-01,1876,Active
106,Customer106,Last106,customer106@example.com,917-555-0106,2025-01-01,262,Active
107,Customer107,Last107,customer107@example.com,917-555-0107,2025-01-01,2584,Active
108,Customer108,Last108,customer108@example.com,917-555-0108,2025-01-01,3286,Active
109,Customer109,Last109,customer109@example.com,917-555-0109,2025-01-01,2193,Active
110,Customer110,Last110,customer110@example.com,917-555-0110,2025-01-01,542,Active
111,Customer111,Last111,customer111@example.com,917-555-0111,2025-01-01,1728,Active
112,Customer112,Last112,customer112@example.com,917-555-0112,2025-01-01,4646,Active
113,Customer113,Last113,customer113@example.com,917-555-0113,2025-01-01,5881,Active
114,Customer114,Last114,customer114@example.com,917-555-0114,2025-01-01,2577,Active
115,Customer115,Last115,customer115@example.com,917-555-0115,2025-01-01,1741,Active
116,Customer116,Last116,customer116@example.com,917-555-0116,2025-01-01,5369,Active
117,Customer117,Last117,customer117@example.com,917-555-0117,2025-01-01,4089,Active
118,Customer118,Last118,customer118@example.com,917-555-0118,2025-01-01,3241,Active
119,Customer119,Last119,customer119@example.com,917-555-0119,2025-01-01,5266,Active
120,Customer120,Last120,customer120@example.com,917-555-0120,2025-01-01,3758,Active
121,Customer121,Last121,customer121@example.com,917-555-0121,2025-01-01,1170,Active
122,Customer122,Last122,customer122@example.com,917-555-0122,2025-01-01,2169,Active
123,Customer123,Last123,customer123@example.com,917-555-0123,2025-01-01,1143,Active
124,Customer124,Last124,customer124@example.com,917-555-0124,2025-01-01,2020,Active
125,Customer125,Last125,customer125@example.com,917-555-0125,2025-01-01,4598,Active
126,Customer126,Last126,customer126@example.com,917-555-0126,2025-01-01,4415,Active
127,Customer127,Last127,customer127@example.com,917-555-0127,2025-01-01,2152,Active
128,Customer128,Last128,customer128@example.com,917-555-0128,2025-01-01,4788,Active
129,Customer129,Last129,customer129@example.com,917-555-0129,2025-01-01,3509,Active
130,Customer130,Last130,customer130@example.com,917-555-0130,2025-01-01,4780,Active
131,Customer131,Last131,customer131@example.com,917-555-0131,2025-01-01,3271,Active
132,Customer132,Last132,customer132@example.com,917-555-0132,2025-01-01,2965,Active
133,Customer133,Last133,customer133@example.com,917-555-0133,2025-01-01,1796,Active
134,Customer134,Last134,customer134@example.com,917-555-0134,2025-01-01,1133,Active
