employee_id,store_id,department_id,first_name,last_name,job_title,hire_date,hourly_rate,employment_status
1,1,7,Employee1,Last1,Supervisor,2023-01-01,18.09,Active
2,1,6,Employee2,Last2,Stock Associate,2023-01-01,30.06,Active
3,1,7,Employee3,Last3,Cashier,2023-01-01,25.81,Active
4,1,5,Employee4,Last4,Supervisor,2023-01-01,25.77,Active
5,1,7,Employee5,Last5,Stock Associate,2023-01-01,28.7,Active
6,1,7,Employee6,Last6,Cashier,2023-01-01,31.45,Active
7,1,3,Employee7,Last7,Associate,2023-01-01,32.51,Active
8,1,1,Employee8,Last8,Associate,2023-01-01,28.28,Active
9,1,3,Employee9,Last9,Supervisor,2023-01-01,20.91,Active
10,1,5,Employee10,Last10,Supervisor,2023-01-01,23.24,Active
11,1,8,Employee11,Last11,Stock Associate,2023-01-01,23.4,Active
12,1,7,Employee12,Last12,Stock Associate,2023-01-01,30.03,Active
13,1,7,Employee13,Last13,Stock Associate,2023-01-01,31.36,Active
14,1,8,Employee14,Last14,Associate,2023-01-01,29.98,Active
15,1,1,Employee15,Last15,Stock Associate,2023-01-01,21.59,Active
16,1,2,Employee16,Last16,Associate,2023-01-01,30.07,Active
17,1,4,Employee17,Last17,Cashier,2023-01-01,31.43,Active
18,1,3,Employee18,Last18,Cashier,2023-01-01,20.02,Active
19,1,2,Employee19,Last19,Cashier,2023-01-01,25.44,Active
20,1,5,Employee20,Last20,Stock Associate,2023-01-01,20.68,Active
21,1,2,Employee21,Last21,Cashier,2023-01-01,33.44,Active
22,1,2,Employee22,Last22,Associate,2023-01-01,32.86,Active
23,2,7,Employee23,Last23,Supervisor,2023-01-01,33.06,Active
24,2,4,Employee24,Last24,Associate,2023-01-01,27.47,Active
25,2,4,Employee25,Last25,Associate,2023-01-01,29.16,Active
26,2,5,Employee26,Last26,Associate,2023-01-01,30.74,Active
27,2,1,Employee27,Last27,Stock Associate,2023-01-01,26.52,Active
28,2,6,Employee28,Last28,Associate,2023-01-01,26.1,Active
29,2,6,Employee29,Last29,Associate,2023-01-01,31.59,Active
30,2,8,Employee30,Last30,Associate,2023-01-01,24.94,Active
31,2,6,Employee31,Last31,Supervisor,2023-01-01,29.32,Active
32,2,7,Employee32,Last32,Cashier,2023-01-01,29.74,Active
33,2,5,Employee33,Last33,Supervisor,2023-01-01,25.44,Active
34,2,5,Employee34,Last34,Stock Associate,2023-01-01,31.63,Active
35,2,2,Employee35,Last35,Stock Associate,2023-01-01,32.11,Active
36,2,4,Employee36,Last36,Supervisor,2023-01-01,27.12,Active
37,2,7,Employee37,Last37,Stock Associate,2023-01-01,18.46,Active
38,2,6,Employee38,Last38,Cashier,2023-01-01,25.8,Active
39,2,6,Employee39,Last39,Stock Associate,2023-01-01,23.45,Active
40,2,5,Employee40,Last40,Associate,2023-01-01,26.27,Active
41,2,4,Employee41,Last41,Associate,2023-01-01,21.86,Active
42,2,7,Employee42,Last42,Supervisor,2023-01-01,26.88,Active
43,2,4,Employee43,Last43,Supervisor,2023-01-01,28.33,Active
44,2,8,Employee44,Last44,Supervisor,2023-01-01,30.69,Active
45,3,2,Employee45,Last45,Stock Associate,2023-01-01,21.55,Active
46,3,4,Employee46,Last46,Stock Associate,2023-01-01,28.62,Active
47,3,6,Employee47,Last47,Supervisor,2023-01-01,26.86,Active
